VPD_kPa,GPP,Gs_mol,SWC
2.0604,3.478,0.005056483,0.825
1.3317,7.38612,0.011963291,1.405
0.5153,6.93013,0.031923656,11.83
1.1763,6.31958,0.012366072,5.713
1.3631,4.52275,0.007698784,5.127
1.256,3.21905,0.005851967,3.395
1.4165,1.97077,0.003968743,2.586
0.7964,4.70794,0.012525172,10.133
0.5793,7.16595,0.026897998,11.646
0.661,8.4368,0.024893403,11.467
0.4997,7.19979,0.030187189,11.808
0.6424,6.71509,0.021738808,11.464
1.2055,5.82755,0.011332583,6.356
0.7179,7.09568,0.005633176,8.087
0.7299,7.15202,0.004966567,10.341
0.4051,4.67679,0.004939092,12.264
0.3206,0.861714,0.003575842,16.523
0.2356,0.201757,0.001822158,18.025
0.3885,0.251432,0.003574556,19.743
0.4583,1.61915,0.005074209,18.803
0.6955,7.64213,0.005281884,16.811
0.8775,10.917,0.006228584,10.367
0.6914,9.04235,0.005211723,13.704
0.5963,7.48981,0.004166775,7.946
0.2427,2.19586,0.003914149,16.455
0.1768,0.102555,0.002020784,17.385
0.2026,0.0618932,0.001804526,14.406
0.7304,0.416467,0.002310139,19.273
0.5993,2.65327,0.003142141,16.349
0.8234,9.6288,0.004805083,12.425
0.7775,10.5454,0.006175098,12.695
0.6241,9.57457,0.005005264,10.619
0.4919,6.16354,0.004428137,10.12
0.2959,1.47192,0.002438961,17.44
0.1534,0.199705,0.001320242,19.37
0.1374,0.0264829,0.001005483,18.687
0.3543,0.334617,0.003130294,16.942
0.4297,2.24478,0.003602184,15.811
0.6423,10.2642,0.006355692,14.217
0.617,12.1843,0.004543798,11.594
0.5713,9.6899,0.00501571,10.666
0.6565,7.39841,0.003488597,8.972
0.2804,1.98156,0.003305496,13.861
0.2039,0.160074,0.001881392,16.186
0.12,0.0575409,0.000817842,11.575
0.2098,0.086962,0.001065913,11.152
0.5163,0.987465,0.001839264,12.622
0.5622,3.05804,0.002879905,11.083
0.7598,11.0805,0.004413557,7.549
0.9612,9.87339,0.003661881,6.117
0.689,9.33953,0.003672148,8.447
0.6316,6.9638,0.003754238,6.886
0.3456,2.7457,0.002527252,9.391
0.0951,0.0232662,0.000724068,13.113
0.1027,0.00447494,0.00060806,12.822
0.5194,1.06201,0.002008781,14.102
0.5448,4.48797,0.003017757,12.619
0.8226,10.8515,0.00489364,6.728
0.8845,10.1365,0.004175675,5.891
0.6781,9.46995,0.00370673,6.567
0.4196,6.06546,0.002921494,7.152
0.299,1.2041,0.002005868,13.518
0.2002,0.276566,0.000665675,12.741
0.2491,0.160441,0.001311942,11.488
0.4561,0.720571,0.002103633,11.031
0.7997,5.40865,0.003409354,9.749
0.9246,13.1607,0.005843621,7.656
0.8135,11.4119,0.004969755,6.707
0.7812,8.06745,0.003504525,5.31
0.6114,8.24231,0.004190912,8.53
0.3681,2.76907,0.002908832,10.579
0.1953,0.30077,0.001544679,12.606
0.0805,0.0777173,0.000715561,17.247
0.5703,0.760151,0.001634066,19.463
0.5289,2.79507,0.00368098,15.446
0.6207,9.77648,0.005401315,13.39
0.5831,10.9515,0.005327801,6.423
0.7326,10.0293,0.004438195,5.27
0.4907,7.25232,0.00308057,6.097
0.3443,2.25204,0.002098853,6.835
0.2343,0.335174,0.000869744,10.278
0.0766,0.113102,0.000239819,11.124
0.0778,0.0493823,0.007331589,9.825
0.2527,0.129826,0.005309956,11.208
0.4792,0.597317,0.006195663,12.257
0.7103,2.89177,0.003200666,9.56
0.7998,9.58145,0.004093506,7.869
0.6642,10.8486,0.004826068,4.829
0.6286,8.16754,0.004060315,6.384
0.5713,7.1561,0.002856995,5.286
0.2358,1.30701,0.001403376,11.176
0.2462,0.39707,0.000506548,10.709
0.1101,0.0269172,0.00034109,11.53
0.1289,0.0872609,0.000689023,9.073
0.4454,0.302897,0.000996934,10.671
0.6975,1.53745,0.002010252,10.116
0.9115,5.43216,0.004148837,8.939
0.579,9.82607,0.004159344,9.75
0.9058,10.4075,0.005078775,5.833
0.6847,8.56433,0.004418937,7.567
0.363,5.57381,0.004362998,9.515
0.4002,1.34802,0.002165026,7.833
0.1959,0.458603,0.000897629,10.092
0.1914,0.131846,0.001295746,7.611
0.3231,0.506575,0.002069494,12.043
0.5735,3.33228,0.003306622,9.556
0.6975,8.37466,0.004047632,8.214
0.8672,11.5289,0.004535795,4.838
0.6875,9.36869,0.003939914,4.92
0.4371,6.94674,0.003467791,7.642
0.4511,2.28061,0.002210394,8.844
0.2483,0.213609,0.000846592,10.206
0.1055,0.0226174,0.000316102,9.326
0.4318,0.369017,0.000882372,10.482
0.4217,0.994835,0.002385309,9.337
0.7039,5.86548,0.003706569,8.647
0.8706,12.1081,0.005288257,8.397
0.9134,11.9506,0.00395264,6.007
0.8416,9.96049,0.004413259,6.022
0.5381,6.62427,0.003016606,6.254
0.2986,1.47548,0.002012418,9.627
0.2166,0.183312,0.000786577,9.698
0.1069,0.174552,0.000615191,10.115
0.0981,0.0786577,0.000589995,9.462
0.0799,0.0153602,0.000968165,9.784
0.2544,0.100547,0.001637079,11.82
0.7643,2.54777,0.002774042,10.356
