Fluxes_site,LAT,LONG,IGBP, COUNTRY, CONTINENT,Climate,TIMESTAMP,year,month,VPD_F,GPP,Ga_h,Gs_mol,SWC,GPP_LN,Gs_mol_LN,SWC_LN,GPP_LOG,Gs_mol_LOG,SWC_LOG,SWC_CLASS,SWC_CL,SWC_LEVEL
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200710,2007,10,20.604,3.478,0.036276576,0.005056483,0.825,1.246457416,-5.287084097,-0.192371893,0.541329578,-2.296151449,-0.083546051,-88.5606101,DRY,2
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200711,2007,11,13.317,7.38612,0.034349695,0.011963291,1.405,1.999602563,-4.425912401,0.340037303,0.868416359,-1.922149333,0.147676324,-80.51837235,DRY,2
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200802,2008,2,5.153,6.93013,0.029820482,0.031923656,11.83,1.935878572,-3.444407977,2.470638678,0.840741381,-1.495887378,1.072984745,64.03391819,VERY WET,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200804,2008,4,11.763,6.31958,0.030684177,0.012366072,5.713,1.84365275,-4.392798685,1.74274428,0.800688216,-1.907768229,0.756864224,-20.78395819,LIGHT DRY,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200805,2008,5,13.631,4.52275,0.029757151,0.007698784,5.127,1.509120216,-4.866692885,1.634520693,0.655402582,-2.113577865,0.709863317,-28.9093915,DRY,2
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200806,2008,6,12.56,3.21905,0.026523658,0.005851967,3.395,1.169086285,-5.140977435,1.222303761,0.507727722,-2.232698132,0.530839779,-52.92517732,SERVE DRY,1
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200807,2008,7,14.165,1.97077,0.024825222,0.003968743,2.586,0.678424329,-5.529305859,0.95011228,0.294635943,-2.401347023,0.412628521,-64.14271239,SERVE DRY,1
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200811,2008,11,7.964,4.70794,0.034478803,0.012525172,10.133,1.549250445,-4.3800149,2.315797424,0.672830919,-1.902216302,1.005738043,40.50343982,WET,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200812,2008,12,5.793,7.16595,0.038374115,0.026897998,11.646,1.969340641,-3.615703419,2.454962773,0.855273774,-1.570280043,1.066176786,61.4825876,VERY WET,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200901,2009,1,6.61,8.4368,0.036355179,0.024893403,11.467,2.13260309,-3.69315245,2.439473345,0.926177754,-1.60391573,1.059449813,59.00058664,VERY WET,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200902,2009,2,4.997,7.19979,0.032648899,0.030187189,11.808,1.974051859,-3.50033765,2.468777268,0.857319829,-1.520177326,1.072176344,63.72886779,VERY WET,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200903,2009,3,6.424,6.71509,0.028423595,0.021738808,11.464,1.904357233,-3.828656229,2.439211691,0.827051838,-1.662764273,1.059336177,58.95898885,VERY WET,
ZM_Mon,-15.4378,23.2528,DBF,Zambia,Africa,Cwa,200904,2009,4,12.055,5.82755,0.027269505,0.011332583,6.356,1.762596672,-4.480073251,1.849399249,0.765486008,-1.945671091,0.803183889,-11.86816703,LIGHT DRY,
US_UMB,45.5598,-84.7138,DBF,USA,North America,Dfb,200107,2001,7,7.179,7.09568,0.036625312,0.005633176,8.087,1.959486148,-5.179081875,2.090257834,0.850994022,-2.24924668,0.907787443,-22.1619388,LIGHT DRY,
US_UMB,45.5598,-84.7138,DBF,USA,North America,Dfb,200108,2001,8,7.299,7.15202,0.035069682,0.004966567,10.341,1.967394834,-5.305026422,2.336116576,0.85442872,-2.303943701,1.014562538,-0.466997538,SERVE DRY,1
US_UMB,45.5598,-84.7138,DBF,USA,North America,Dfb,200109,2001,9,4.051,4.67679,0.03690989,0.004939092,12.264,1.542611977,-5.31057377,2.506668142,0.669947869,-2.306352884,1.088632142,18.04204063,LITTER WET,
US_UMB,45.5598,-84.7138,DBF,USA,North America,Dfb,200110,2001,10,3.206,0.861714,0.045303457,0.003575842,16.523,-0.14883185,-5.633554606,2.80475335,-0.064636851,-2.446621679,1.218088903,59.03527702,VERY WET,
US_UMB,45.5598,-84.7138,DBF,USA,North America,Dfb,200111,2001,11,2.356,0.201757,0.042463918,0.001822158,18.025,-1.600691276,-6.307733766,2.891759683,-0.695171388,-2.739413968,1.255875273,73.49215447,VERY WET,
